Roll No.,G CODE,Sections
SIASUG2021-0052,CHEM431,A
SIASUG2021-0052,MATH191|COMP201,A
SIASUG2021-0052,PSYC345&PSYC445,A
SIASUG2021-0052,BUSI211|PSYC213,A
SIASUG2021-0052,CHEM434,A
SIASUG2021-0141,COMP332&COMP432,A
SIASUG2021-0141,MATH203,A
SIASUG2021-0141,PHYS327,A
SIASUG2021-0141,COMP347&COMP447,A
SIASUG2021-0141,BIOS224,A
SIASUG2021-0163,ECON209,A
SIASUG2021-0163,COMP350,A
SIASUG2021-0163,BIOS231|CHEM231,A
SIASUG2021-0163,SOCL325|ENVS325,A
SIASUG2021-0163,CHEM433,A
SIASUG2021-0195,CHEM433,A
SIASUG2021-0195,CWPC601,A
SIASUG2021-0195,ARTS233,A
SIASUG2021-0195,PHYS311,A
SIASUG2021-0195,PHYS226,A
SIASUG2022-0060,COMP431|ARTS431,A
SIASUG2022-0060,POLT333|SOCL333,A
SIASUG2022-0060,HIST326&HIST426,A
SIASUG2022-0060,MATH305&MATH405,A
SIASUG2022-0060,LITT208,A
SIASUG2022-0062,BIOS432|CHEM432,A
SIASUG2022-0062,PSYC440,A
SIASUG2022-0062,POLT205,A
SIASUG2022-0062,PHYS231,A
SIASUG2022-0062,PHIL214|PHIL314&PHIL414,A
SIASUG2022-0088,CHEM433,A
SIASUG2022-0088,CHEM440,A
SIASUG2022-0088,COMP431|ARTS431,A
SIASUG2022-0088,ARTS233,A
SIASUG2022-0088,PHYS327,A
SIASUG2022-0112,CHEM319,A
SIASUG2022-0112,PHYS360&PHYS460,A
SIASUG2022-0112,MATH191|COMP201,A
SIASUG2022-0112,ARTS233,A
SIASUG2022-0112,ARTS224,A
SIASUG2022-0127,HIST326&HIST426,A
SIASUG2022-0127,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2022-0127,PSYC208,A
SIASUG2022-0127,BUSI318,A
SIASUG2022-0127,SOCL411|POLT411,A
SIASUG2022-0149,ARTS205,A
SIASUG2022-0149,CHEM219,A
SIASUG2022-0149,BIOS221,A
SIASUG2022-0149,ARTS234|PHIL234|PSYC235,A
SIASUG2022-0149,POLT333|SOCL333,A
SIASUG2022-0159,HIST314|SOCL351|POLT351,A
SIASUG2022-0159,ECON207,A
SIASUG2022-0159,COMP350,A
SIASUG2022-0159,ECON315|SOCL323|BUSI312,A
SIASUG2022-0159,ENVS421,A
SIASUG2022-0163,COMP332&COMP432,A
SIASUG2022-0163,ECON201-B,A
SIASUG2022-0163,ENVS433|HIST433|SOCL433|LITT433,A
SIASUG2022-0163,SOCL201|POLT201,A
SIASUG2022-0163,BUSI318,A
SIASUG2022-0087,COMP203,A
SIASUG2022-0087,PHYS360&PHYS460,A
SIASUG2022-0087,ENVS245,A
SIASUG2022-0087,MATH355&MATH455,A
SIASUG2022-0087,ENVS250|PHIL211,A
SIASUG2022-0181,MATH355&MATH455,A
SIASUG2022-0181,LITT212|ARTS232,A
SIASUG2022-0181,PHYS443,A
SIASUG2022-0181,HIST303|PHIL315|LITT306,A
SIASUG2022-0181,POLT333|SOCL333,A
SIASUG2021-0132,ARTS235|ENVS237,A
SIASUG2021-0132,CHEM431,A
SIASUG2021-0132,PHYS327,A
SIASUG2021-0132,ENVS221|LITT242,A
SIASUG2021-0132,PSYC208,A
SIASUG2021-0143,BIOS224,A
SIASUG2021-0143,ARTS224,A
SIASUG2021-0143,POLT412,A
SIASUG2021-0143,DATA201-B,A
SIASUG2021-0143,CHEM321,A
SIASUG2021-0139,PHYS216|COMP216,A
SIASUG2021-0139,PHYS231,A
SIASUG2021-0139,COMP207,A
SIASUG2021-0139,PHYS311,A
SIASUG2021-0139,ECON207,A
SIASUG2021-0143,CHEM431,A
SIASUG2021-0143,ECON332&ECON432,A
SIASUG2021-0143,POLT415|SOCL415,A
SIASUG2021-0143,CWPC601,A
SIASUG2021-0143,CHEM207,A
SIASUG2021-0171,ECON206,A
SIASUG2021-0171,PHYS231,A
SIASUG2021-0171,COMP347&COMP447,A
SIASUG2021-0171,PSYC251|SOCL251,A
SIASUG2021-0171,HIST339,A
SIASUG2021-0173,COMP350,A
SIASUG2021-0173,POLT205,A
SIASUG2021-0173,MATH344&MATH444,A
SIASUG2021-0173,MATH333,A
SIASUG2021-0173,POLT415|SOCL415,A
SIASUG2022-0133,MATH305&MATH405,A
SIASUG2022-0133,BIOS251|HIST251,A
SIASUG2022-0133,CWPC601,A
SIASUG2022-0133,ENVS221|LITT242,A
SIASUG2022-0133,SOCL325|ENVS325,A
SIASUG2022-0002,PHYS327,A
SIASUG2022-0002,ENVS421,A
SIASUG2022-0002,CWPC601,A
SIASUG2022-0002,BIOS221,A
SIASUG2022-0002,COMP431|ARTS431,A
SIASUG2022-0128,PSYC440,A
SIASUG2022-0128,ENVS245,A
SIASUG2022-0128,PHIL214|PHIL314&PHIL414,A
SIASUG2022-0128,MATH355&MATH455,A
SIASUG2022-0128,SOCL328,A
SIASUG2021-0159,POLT203,A
SIASUG2021-0159,POLT415|SOCL415,A
SIASUG2021-0159,MATH226,A
SIASUG2021-0159,BIOS231|CHEM231,A
SIASUG2021-0159,ENVS433|HIST433|SOCL433|LITT433,A
SIASUG2021-0158,SOCL325|ENVS325,A
SIASUG2021-0158,CHEM219,A
SIASUG2021-0158,COMP350,A
SIASUG2021-0158,MATH305&MATH405,A
SIASUG2021-0158,ECON321&ECON421,A
SIASUG2021-0141,PHYS231,A
SIASUG2021-0141,MATH344&MATH444,A
SIASUG2021-0141,MATH305&MATH405,A
SIASUG2021-0141,POLT334|SOCL334,A
SIASUG2021-0141,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,A
SIASPG2023-0021,ECON321&ECON421,A
SIASPG2023-0021,HIST339,A
SIASPG2023-0021,ECON207,A
SIASPG2023-0021,ARTS235|ENVS237,A
SIASPG2023-0021,CHEM434,A
SIASPG2023-0031,POLT203,A
SIASPG2023-0031,BIOS306|CHEM305,A
SIASPG2023-0031,BIOS227|ENVS227|PSYC227,A
SIASPG2023-0031,MATH203,A
SIASPG2023-0031,ENVS421,A
SIASPG2023-0033,PHIL214|PHIL314&PHIL414,A
SIASPG2023-0033,MATH344&MATH444,A
SIASPG2023-0033,ENVS433|HIST433|SOCL433|LITT433,A
SIASPG2023-0033,ARTS236|LITT234,A
SIASPG2023-0033,BUSI318,A
SIASPG2023-0023,COMP235,A
