Course ID,Scheduled Time
MATH061&PHYS061,Monday 16:30
MATH061&PHYS061,Tuesday 16:30
POLT333|SOCL333,Thursday 14:30
POLT333|SOCL333,Friday 16:30
HIST339,Monday 08:30
HIST339,Tuesday 18:30
PSYC208,Tuesday 08:30
PSYC208,Thursday 18:30
CHEM319,Monday 12:30
CHEM319,Tuesday 18:30
CHEM219,Tuesday 16:30
CHEM219,Wednesday 10:30
ECON332&ECON432,Thursday 16:30
ECON332&ECON432,Friday 10:30
ECON330|BUSI330&ECON430|BUSI430,Monday 14:30
ECON330|BUSI330&ECON430|BUSI430,Tuesday 16:30
CHEM434,Wednesday 10:30
CHEM434,Friday 14:30
ARTS236|LITT234,Thursday 08:30
ARTS236|LITT234,Friday 14:30
PHYS231,Thursday 08:30
PHYS231,Friday 08:30
DATA201-A,Wednesday 16:30
DATA201-A,Friday 12:30
MATH355&MATH455,Monday 10:30
MATH355&MATH455,Friday 14:30
PSYC209,Wednesday 12:30
PSYC209,Friday 08:30
BIOS251|HIST251,Monday 14:30
BIOS251|HIST251,Wednesday 18:30
PHYS360&PHYS460,Monday 14:30
PHYS360&PHYS460,Thursday 14:30
PHYS345,Monday 16:30
PHYS345,Thursday 16:30
CHEM433,Monday 12:30
CHEM433,Tuesday 12:30
HIST326&HIST426,Wednesday 10:30
HIST326&HIST426,Friday 12:30
CHEM440,Monday 18:30
CHEM440,Tuesday 10:30
BIOS221,Wednesday 16:30
BIOS221,Friday 18:30
ECON321&ECON421,Tuesday 18:30
ECON321&ECON421,Friday 14:30
PHYS226,Wednesday 18:30
PHYS226,Thursday 18:30
PHYS216|COMP216,Monday 14:30
PHYS216|COMP216,Friday 18:30
COMP310&COMP410,Tuesday 10:30
COMP310&COMP410,Thursday 12:30
BUSI211|PSYC213,Wednesday 18:30
BUSI211|PSYC213,Thursday 12:30
COMP347&COMP447,Monday 18:30
COMP347&COMP447,Tuesday 08:30
ENVS242|SOCL242|POLT221,Tuesday 16:30
ENVS242|SOCL242|POLT221,Wednesday 18:30
HIST314|SOCL351|POLT351,Monday 16:30
HIST314|SOCL351|POLT351,Thursday 14:30
ECON207,Tuesday 12:30
ECON207,Friday 12:30
ENVS245,Wednesday 08:30
ENVS245,Friday 10:30
BIOS224,Wednesday 18:30
BIOS224,Thursday 08:30
ARTS224,Monday 10:30
ARTS224,Wednesday 08:30
COMP235,Monday 08:30
COMP235,Tuesday 16:30
POLT205,Monday 10:30
POLT205,Thursday 18:30
POLT334|SOCL334,Monday 18:30
POLT334|SOCL334,Tuesday 12:30
ARTS234|PHIL234|PSYC235,Thursday 10:30
ARTS234|PHIL234|PSYC235,Friday 18:30
ARTS205,Thursday 14:30
ARTS205,Friday 14:30
ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,Monday 14:30
ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,Wednesday 12:30
ECON210-B,Wednesday 08:30
ECON210-B,Thursday 10:30
PSYC327,Tuesday 08:30
PSYC327,Thursday 12:30
CHEM431,Monday 14:30
CHEM431,Friday 16:30
COMP328&COMP428,Wednesday 18:30
COMP328&COMP428,Thursday 08:30
MATH257,Monday 16:30
MATH257,Tuesday 16:30
LITT212|ARTS232,Monday 14:30
LITT212|ARTS232,Tuesday 10:30
PSYC442,Monday 18:30
PSYC442,Friday 14:30
SOCL325|ENVS325,Wednesday 18:30
SOCL325|ENVS325,Thursday 12:30
ECON209,Tuesday 16:30
ECON209,Wednesday 16:30
CHEM216,Monday 16:30
CHEM216,Friday 14:30
ECON201-A,Tuesday 12:30
ECON201-A,Thursday 14:30
MATH191|COMP201,Monday 08:30
MATH191|COMP201,Tuesday 18:30
ECON315|SOCL323|BUSI312,Wednesday 12:30
ECON315|SOCL323|BUSI312,Thursday 12:30
PSYC440,Monday 10:30
PSYC440,Friday 08:30
BIOS231|CHEM231,Tuesday 14:30
BIOS231|CHEM231,Wednesday 14:30
MATH305&MATH405,Tuesday 16:30
MATH305&MATH405,Wednesday 16:30
COMP203,Monday 12:30
COMP203,Thursday 14:30
PSYC437,Wednesday 10:30
PSYC437,Friday 18:30
ECON333&ECON433,Monday 08:30
ECON333&ECON433,Friday 10:30
COMP431|ARTS431,Wednesday 10:30
COMP431|ARTS431,Friday 08:30
COMP332&COMP432,Thursday 14:30
COMP332&COMP432,Friday 18:30
BIOS306|CHEM305,Tuesday 12:30
BIOS306|CHEM305,Thursday 10:30
POLT412,Wednesday 12:30
POLT412,Thursday 10:30
BIOS432|CHEM432,Monday 12:30
BIOS432|CHEM432,Tuesday 16:30
POLT203,Wednesday 16:30
POLT203,Friday 16:30
ENVS221|LITT242,Wednesday 10:30
ENVS221|LITT242,Thursday 16:30
CHEM321,Monday 16:30
CHEM321,Wednesday 12:30
PHYS311,Monday 10:30
PHYS311,Thursday 10:30
POLT415|SOCL415,Wednesday 16:30
POLT415|SOCL415,Friday 10:30
SOCL411|POLT411,Monday 18:30
SOCL411|POLT411,Tuesday 08:30
DATA201-B,Wednesday 18:30
DATA201-B,Thursday 08:30
PHIL214|PHIL314&PHIL414,Monday 18:30
PHIL214|PHIL314&PHIL414,Tuesday 08:30
ECON201-B,Monday 10:30
ECON201-B,Tuesday 10:30
MATH333,Monday 18:30
MATH333,Tuesday 08:30
COMP350,Monday 18:30
COMP350,Tuesday 08:30
SOCL328,Thursday 12:30
SOCL328,Friday 10:30
PSYC251|SOCL251,Monday 08:30
PSYC251|SOCL251,Tuesday 10:30
ENVS433|HIST433|SOCL433|LITT433,Wednesday 12:30
ENVS433|HIST433|SOCL433|LITT433,Friday 12:30
BUSI319,Monday 12:30
BUSI319,Tuesday 12:30
ENVS250|PHIL211,Monday 08:30
ENVS250|PHIL211,Thursday 16:30
BUSI318,Monday 12:30
BUSI318,Friday 10:30
COMP311|MATH311,Tuesday 12:30
COMP311|MATH311,Wednesday 10:30
CHEM207,Wednesday 08:30
CHEM207,Friday 14:30
HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,Monday 10:30
HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,Thursday 12:30
HIST303|PHIL315|LITT306,Tuesday 18:30
HIST303|PHIL315|LITT306,Wednesday 08:30
LITT208,Monday 08:30
LITT208,Wednesday 08:30
BUSI317,Wednesday 08:30
BUSI317,Friday 12:30
COMP329|MATH329&COMP429|MATH429,Monday 14:30
COMP329|MATH329&COMP429|MATH429,Tuesday 16:30
COMP207,Tuesday 12:30
COMP207,Wednesday 18:30
MATH344&MATH444,Monday 12:30
MATH344&MATH444,Friday 08:30
PHYS110,Wednesday 10:30
PHYS110,Friday 12:30
BUSI201,Monday 16:30
BUSI201,Friday 10:30
PHYS443,Monday 16:30
PHYS443,Tuesday 10:30
CHEM322|BIOS322,Thursday 18:30
CHEM322|BIOS322,Friday 16:30
ARTS235|ENVS237,Thursday 18:30
ARTS235|ENVS237,Friday 16:30
SOCL201|POLT201,Tuesday 08:30
SOCL201|POLT201,Friday 10:30
CWPC601,Wednesday 12:30
CWPC601,Thursday 12:30
ARTS233,Monday 18:30
ARTS233,Tuesday 08:30
MATH203,Monday 08:30
MATH203,Thursday 08:30
ECON210-A,Monday 16:30
ECON210-A,Friday 18:30
ENVS328,Tuesday 18:30
ENVS328,Thursday 16:30
PHYS327,Thursday 08:30
PHYS327,Friday 10:30
PSYC345&PSYC445,Monday 08:30
PSYC345&PSYC445,Thursday 18:30
BIOS227|ENVS227|PSYC227,Thursday 12:30
BIOS227|ENVS227|PSYC227,Friday 12:30
BIOS409|ENVS409,Wednesday 18:30
BIOS409|ENVS409,Friday 08:30
HIST330|SOCL330|POLT330,Monday 10:30
HIST330|SOCL330|POLT330,Friday 10:30
MATH226,Tuesday 18:30
MATH226,Thursday 16:30
ENVS421,Wednesday 10:30
ENVS421,Friday 16:30
ECON206,Wednesday 10:30
ECON206,Thursday 14:30
