Roll No.,TRIM,SECTION,G CODE,Sections
UG-T4-001,4,BUSI203,BUSI203,A
UG-T4-004,4,BUSI203,BUSI203,A
UG-T4-006,4,BUSI203,BUSI203,A
UG-T4-007,4,BUSI203,BUSI203,A
UG-T4-010,4,BUSI203,BUSI203,A
UG-T4-013,4,BUSI203,BUSI203,A
UG-T4-017,4,BUSI203,BUSI203,A
UG-T4-036,4,BUSI203,BUSI203,A
UG-T4-037,4,BUSI203,BUSI203,A
UG-T4-051,4,BUSI203,BUSI203,A
UG-T4-057,4,BUSI203,BUSI203,A
UG-T4-070,4,BUSI203,BUSI203,A
UG-T4-071,4,BUSI203,BUSI203,A
UG-T4-076,4,BUSI203,BUSI203,A
UG-T4-085,4,BUSI203,BUSI203,A
UG-T4-100,4,BUSI203,BUSI203,A
UG-T4-104,4,BUSI203,BUSI203,A
UG-T4-112,4,BUSI203,BUSI203,A
UG-T4-130,4,BUSI203,BUSI203,A
UG-T4-131,4,BUSI203,BUSI203,A
UG-T4-138,4,BUSI203,BUSI203,A
UG-T4-149,4,BUSI203,BUSI203,A
UG-T4-150,4,BUSI203,BUSI203,A
UG-T4-161,4,BUSI203,BUSI203,A
UG-T4-162,4,BUSI203,BUSI203,A
UG-T4-168,4,BUSI203,BUSI203,A
UG-T4-256,4,BUSI203,BUSI203,A
UG-T4-180,4,BUSI203,BUSI203,A
UG-T4-190,4,BUSI203,BUSI203,A
UG-T4-191,4,BUSI203,BUSI203,A
UG-T4-193,4,BUSI203,BUSI203,A
UG-T4-194,4,BUSI203,BUSI203,A
UG-T4-203,4,BUSI203,BUSI203,A
UG-T4-223,4,BUSI203,BUSI203,A
UG-T4-225,4,BUSI203,BUSI203,A
UG-T4-230,4,BUSI203,BUSI203,A
UG-T4-233,4,BUSI203,BUSI203,A
UG-T4-237,4,BUSI203,BUSI203,A
UG-T4-239,4,BUSI203,BUSI203,A
UG-T4-242,4,BUSI203,BUSI203,A
UG-T7-180,7,BUSI203,BUSI203,A
UG-T7-065,7,BUSI203,BUSI203,A
UG-T7-080,7,BUSI203,BUSI203,A
UG-T7-007,7,BUSI203,BUSI203,A
UG-T7-109,7,BUSI203,BUSI203,A
UG-T7-112,7,BUSI203,BUSI203,A
UG-T7-118,7,BUSI203,BUSI203,A
UG-T10-007,10,BUSI203,BUSI203,A
UG-T10-024,10,BUSI203,BUSI203,A
UG-T10-032,10,BUSI203,BUSI203,A
UG-T10-035,10,BUSI203,BUSI203,A
UG-T7-050,7,BUSI316,BUSI316,A
UG-T7-061,7,BUSI316,BUSI316,A
UG-T7-063,7,BUSI316,BUSI316,A
UG-T7-065,7,BUSI316,BUSI316,A
UG-T7-070,7,BUSI316,BUSI316,A
UG-T7-073,7,BUSI316,BUSI316,A
UG-T7-075,7,BUSI316,BUSI316,A
UG-T7-109,7,BUSI316,BUSI316,A
UG-T7-112,7,BUSI316,BUSI316,A
UG-T7-122,7,BUSI316,BUSI316,A
UG-T7-131,7,BUSI316,BUSI316,A
UG-T7-146,7,BUSI316,BUSI316,A
UG-T7-157,7,BUSI316,BUSI316,A
UG-T10-007,10,BUSI316,BUSI316,A
UG-T10-022,10,BUSI316,BUSI316,A
