Day,StartTime,EndTime,Courses
Monday,08:30,10:30,"ECON330|BUSI330&ECON430|BUSI430,PSYC437,ECON209,HIST326&HIST426,PSYC208"
Monday,10:30,12:30,"BUSI211|PSYC213,LITT212|ARTS232"
Monday,12:30,14:30,"HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,POLT205,DATA201-A,ARTS224"
Monday,14:30,16:30,"HIST330|SOCL330|POLT330,ENVS250|PHIL211"
Monday,16:30,18:30,"CHEM219,CHEM440,ECON201-B,ECON201-A,SOCL325|ENVS325,ARTS205,BIOS221"
Monday,18:30,20:30,"ARTS234|PHIL234|PSYC235,MATH305&MATH405,ENVS421,HIST303|PHIL315|LITT306,PSYC345&PSYC445,CHEM434,PHYS345,SOCL201|POLT201,COMP207"
Tuesday,08:30,10:30,"ECON330|BUSI330&ECON430|BUSI430,BIOS432|CHEM432,ARTS235|ENVS237,COMP347&COMP447,MATH333,PSYC437,CHEM207,HIST330|SOCL330|POLT330,ARTS205"
Tuesday,10:30,12:30,"CHEM219,COMP332&COMP432,ENVS328,BIOS224,ARTS224,POLT203,BUSI201,PHYS231"
Tuesday,12:30,14:30,"POLT415|SOCL415,MATH203,CHEM433,PHYS311,CHEM322|BIOS322,BUSI318,COMP235,SOCL325|ENVS325,PSYC345&PSYC445,SOCL328,ECON210-B,BIOS231|CHEM231"
Tuesday,14:30,16:30,"CHEM319,CHEM440,MATH355&MATH455,PHYS110,MATH305&MATH405,COMP329|MATH329&COMP429|MATH429,BIOS409|ENVS409,PSYC209,POLT412,COMP310&COMP410,ECON207,ENVS245,CWPC601,PSYC440,PHYS226"
Tuesday,16:30,18:30,"MATH061&PHYS061,ARTS236|LITT234,LITT212|ARTS232,ECON333&ECON433,COMP311|MATH311,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,BIOS306|CHEM305,PHYS360&PHYS460,CHEM321,MATH257,ENVS421,PHYS216|COMP216,CHEM431,ENVS242|SOCL242|POLT221,PHYS345,POLT333|SOCL333,SOCL201|POLT201,COMP328&COMP428,ENVS433|HIST433|SOCL433|LITT433,PSYC327,MATH226"
Tuesday,18:30,20:30,"COMP431|ARTS431,ECON332&ECON432,MATH191|COMP201,MATH344&MATH444,BIOS251|HIST251,ECON206,ECON321&ECON421,CHEM434,PHYS327,PHYS443,PSYC251|SOCL251,COMP350,HIST339,BUSI317,ARTS233,PSYC442,SOCL411|POLT411,BIOS227|ENVS227|PSYC227,CHEM216,COMP207,HIST314|SOCL351|POLT351,ENVS221|LITT242"
Wednesday,08:30,10:30,"POLT334|SOCL334,DATA201-B"
Wednesday,10:30,12:30,"ECON332&ECON432,BUSI319,LITT208"
Wednesday,12:30,14:30,"HIST326&HIST426,PSYC209,COMP203,ENVS250|PHIL211"
Wednesday,14:30,16:30,"PSYC208,HIST303|PHIL315|LITT306,ECON210-A,ECON210-B,PHYS231"
Wednesday,16:30,18:30,"POLT415|SOCL415,PHYS110,CHEM321,COMP235,POLT203,BUSI201,PSYC440,MATH226"
Wednesday,18:30,20:30,"COMP431|ARTS431,MATH061&PHYS061,MATH203,PHIL214|PHIL314&PHIL414,ECON209,BIOS251|HIST251,BUSI318,CHEM207,POLT412,CHEM431,SOCL328,COMP328&COMP428,PSYC251|SOCL251"
Thursday,08:30,10:30,"ECON315|SOCL323|BUSI312,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,DATA201-B,COMP329|MATH329&COMP429|MATH429,MATH257,PHYS216|COMP216,ENVS221|LITT242"
Thursday,10:30,12:30,BUSI211|PSYC213
Thursday,12:30,14:30,"POLT205,BIOS224"
Thursday,14:30,16:30,"POLT334|SOCL334,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,DATA201-A,ECON321&ECON421"
Thursday,16:30,18:30,"ECON201-A,BIOS409|ENVS409,ECON207"
Thursday,18:30,20:30,"ECON333&ECON433,COMP311|MATH311,COMP203,ENVS242|SOCL242|POLT221,PSYC327"
Friday,08:30,10:30,PHIL214|PHIL314&PHIL414
Friday,10:30,12:30,"COMP332&COMP432,BIOS432|CHEM432,BIOS221"
Friday,12:30,14:30,"ECON315|SOCL323|BUSI312,ARTS235|ENVS237,COMP347&COMP447,PHYS311,CHEM322|BIOS322,LITT208,BIOS231|CHEM231,CWPC601"
Friday,14:30,16:30,"CHEM319,ARTS236|LITT234,CHEM433,MATH355&MATH455,MATH344&MATH444,ENVS328,ECON201-B,ARTS234|PHIL234|PSYC235,PHYS360&PHYS460,COMP310&COMP410,ECON210-A,POLT333|SOCL333,ENVS245,PHYS226,ENVS433|HIST433|SOCL433|LITT433"
Friday,16:30,18:30,"MATH191|COMP201,BUSI319,BIOS306|CHEM305,MATH333,ECON206,PHYS327,PHYS443,COMP350,HIST339,BUSI317,ARTS233,PSYC442,SOCL411|POLT411,BIOS227|ENVS227|PSYC227,CHEM216,HIST314|SOCL351|POLT351"
