Roll_No,Student_Name,Course,SectionNumber,Course_Section,NumberOfSections
SIASUG2022-0081,SIASUG2022-0081,ARTS224,1,ARTS224,1
SIASUG2022-0111,SIASUG2022-0111,ARTS224,1,ARTS224,1
SIASUG2023-0058,SIASUG2023-0058,ARTS224,1,ARTS224,1
SIASUG2023-0260,SIASUG2023-0260,ARTS224,1,ARTS224,1
SIASUG2023-0270,SIASUG2023-0270,ARTS224,1,ARTS224,1
SIASUG2024-208,SIASUG2024-208,ARTS224,1,ARTS224,1
SIASUG2021-0113,SIASUG2021-0113,ARTS231,1,ARTS231,1
SIASUG2022-0043,SIASUG2022-0043,ARTS231,1,ARTS231,1
SIASUG2022-0068,SIASUG2022-0068,ARTS231,1,ARTS231,1
SIASUG2022-0096,SIASUG2022-0096,ARTS231,1,ARTS231,1
SIASUG2022-0109,SIASUG2022-0109,ARTS231,1,ARTS231,1
SIASUG2022-0111,SIASUG2022-0111,ARTS231,1,ARTS231,1
SIASUG2022-0133,SIASUG2022-0133,ARTS231,1,ARTS231,1
SIASUG2022-0173,SIASUG2022-0173,ARTS231,1,ARTS231,1
SIASUG2022-0191,SIASUG2022-0191,ARTS231,1,ARTS231,1
SIASUG2023-0078,SIASUG2023-0078,ARTS231,1,ARTS231,1
SIASUG2023-0082,SIASUG2023-0082,ARTS231,1,ARTS231,1
SIASUG2023-0093,SIASUG2023-0093,ARTS231,1,ARTS231,1
SIASUG2023-0122,SIASUG2023-0122,ARTS231,1,ARTS231,1
SIASUG2023-0130,SIASUG2023-0130,ARTS231,1,ARTS231,1
SIASUG2023-0141,SIASUG2023-0141,ARTS231,1,ARTS231,1
SIASUG2023-0150,SIASUG2023-0150,ARTS231,1,ARTS231,1
SIASUG2023-0172,SIASUG2023-0172,ARTS231,1,ARTS231,1
SIASUG2023-0220,SIASUG2023-0220,ARTS231,1,ARTS231,1
SIASUG2023-0223,SIASUG2023-0223,ARTS231,1,ARTS231,1
SIASUG2023-0274,SIASUG2023-0274,ARTS231,1,ARTS231,1
SIASUG2023-0284,SIASUG2023-0284,ARTS231,1,ARTS231,1
SIASUG2023-0295,SIASUG2023-0295,ARTS231,1,ARTS231,1
SIASUG2023-0296,SIASUG2023-0296,ARTS231,1,ARTS231,1
SIASUG2024-074,SIASUG2024-074,ARTS231,1,ARTS231,1
SIASUG2024-122,SIASUG2024-122,ARTS231,1,ARTS231,1
SIASUG2024-124,SIASUG2024-124,ARTS231,1,ARTS231,1
SIASUG2024-127,SIASUG2024-127,ARTS231,1,ARTS231,1
SIASUG2024-135,SIASUG2024-135,ARTS231,1,ARTS231,1
SIASUG2024-149,SIASUG2024-149,ARTS231,1,ARTS231,1
SIASUG2024-172,SIASUG2024-172,ARTS231,1,ARTS231,1
SIASUG2024-179,SIASUG2024-179,ARTS231,1,ARTS231,1
SIASUG2024-213,SIASUG2024-213,ARTS231,1,ARTS231,1
SIASUG2024-232,SIASUG2024-232,ARTS231,1,ARTS231,1
SIASUG2024-237,SIASUG2024-237,ARTS231,1,ARTS231,1
SIASUG2022-0060,SIASUG2022-0060,ARTS233,1,ARTS233,1
SIASUG2023-0047,SIASUG2023-0047,ARTS233,1,ARTS233,1
SIASUG2023-0096,SIASUG2023-0096,ARTS233,1,ARTS233,1
SIASUG2023-0140,SIASUG2023-0140,ARTS233,1,ARTS233,1
SIASUG2023-0177,SIASUG2023-0177,ARTS233,1,ARTS233,1
SIASUG2023-0270,SIASUG2023-0270,ARTS233,1,ARTS233,1
SIASUG2024-059,SIASUG2024-059,ARTS233,1,ARTS233,1
SIASUG2024-135,SIASUG2024-135,ARTS233,1,ARTS233,1
SIASUG2024-213,SIASUG2024-213,ARTS233,1,ARTS233,1
SIASUG2022-0133,SIASUG2022-0133,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0009,SIASUG2023-0009,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0018,SIASUG2023-0018,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0092,SIASUG2023-0092,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0097,SIASUG2023-0097,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0140,SIASUG2023-0140,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0148,SIASUG2023-0148,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0187,SIASUG2023-0187,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0220,SIASUG2023-0220,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0227,SIASUG2023-0227,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0281,SIASUG2023-0281,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2024-064,SIASUG2024-064,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2024-092,SIASUG2024-092,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2024-095,SIASUG2024-095,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2022-0021,SIASUG2022-0021,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0032,SIASUG2022-0032,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0047,SIASUG2022-0047,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0079,SIASUG2022-0079,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0108,SIASUG2022-0108,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0111,SIASUG2022-0111,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0125,SIASUG2022-0125,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0127,SIASUG2022-0127,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0130,SIASUG2022-0130,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0133,SIASUG2022-0133,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0173,SIASUG2022-0173,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0183,SIASUG2022-0183,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0191,SIASUG2022-0191,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0010,SIASUG2023-0010,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0054,SIASUG2023-0054,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0062,SIASUG2023-0062,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0078,SIASUG2023-0078,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0096,SIASUG2023-0096,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0097,SIASUG2023-0097,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0130,SIASUG2023-0130,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0140,SIASUG2023-0140,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0141,SIASUG2023-0141,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
